code,P_BILABIALS,P_CLICKS,P_CODAS,P_COMPLEX_CODAS,P_COMPLEX_ONSETS,P_EJECTIVES,P_FRICATIVES,P_FRONT_ROUND_VOWELS,P_GLOTTALIZED_RESONANTS,P_IMPLOSIVES,P_LABIAL_VELARS,P_LATERALS,P_LATERAL_L,P_LATERAL_OBSTRUENTS,P_NASALS,P_NASAL_VOWELS,P_PHARYNGEALS,P_TH,P_TONE,P_UVULAR_CONTINUANTS,P_UVULAR_STOPS,P_VELAR_NASAL,P_VELAR_NASAL_INITIAL,P_VOICE,P_VOICED_FRICATIVES,P_VOICED_PLOSIVES
ctd,1,0,0.5,0,1,0,1,0,1,0,0,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,1,1
ctm,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
ctp,1,0,0.5,0.5,0.5,0,1,0,0,0,0,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,0,1
cub,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,1,1,0,0,0.5,0.5,1,0,1
cui,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
cya,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
cyb,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
daa,1,0,0.5,0,1,0,1,0,0,1,0,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,1,1
daf,1,0,0.5,0,1,0,1,0,0,1,1,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,1,1
dag,1,0,0.5,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0.5,0.5,1,1,1
dai,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
daj,1,0,0.5,0,1,0,1,0,0,1,0,1,1,0,1,0.5,0,0,0,1,0,0.5,0.5,1,0,1
dal,1,1,0.5,0.5,0.5,1,1,0,0,1,0,1,1,1,1,0.5,1,1,1,0,0,0.5,0.5,1,1,1
dap,1,0,0.5,0.5,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,0,1
dbl,1,0,0.5,0,1,0,0,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,0,0,0
ddo,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
deu,1,0,0.5,0.5,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1
dga,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
dgz,1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,1,0,1
dhv,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1
dif,1,0,0.5,0,1,0,0,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,0,0,0
dih,1,0,0.5,0.5,0.5,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0,0,1,0.5,0.5,1,1,0
dip,1,0,0.5,0,1,0,0,0,0,0,0,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,0,1
djk,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1
dlg,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5
dni,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,1,0,0,0,0
dow,1,0,0.5,0.5,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0.5,0.5,1,1,1
dru,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,1,0,0,0,0.5,0.5,1,1,1
dry,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,1,0,1
dta,1,0,0.5,0.5,1,0,1,1,0,0,0,1,1,0,1,0.5,0,0,0,0,0,1,0,1,1,1
dts,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0.5,0.5,1,0,1
duj,1,0,0.5,0.5,1,0,0,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,0,0,0
dyo,1,0,0.5,0.5,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,1,1,1,0,1
efi,1,0,0.5,0,1,0,1,0,0,0,1,0,0,0,1,0.5,0,0,1,0,0,0.5,0.5,1,0,1
ega,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
eip,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5
ekg,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.5,0.5,0,0,0
eky,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1
ell,1,0,0.5,0.5,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1
ema,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
emp,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
eng,1,0,0.5,0.5,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1
enh,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5
enq,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5
ese,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5
esq,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
ess,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0,1,1,0.5,0.5,1,1,0
esu,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5
ets,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
etu,1,0,0.5,0,1,0,1,1,0,0,1,0,0,0,1,0.5,0,0,1,0,0,0.5,0.5,1,0,1
eus,1,0,0.5,0.5,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1
eve,1,0,0.5,0.5,0.5,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,1,1,1,0,1
evn,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1
ewe,1,0,0.5,0,1,0,1,0,0,0,1,1,1,0,1,0.5,0,0,1,0,0,1,1,1,1,1
ewo,1,0,0.5,0,1,0,1,0,0,0,1,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,1,1
eya,0,0,0.5,0.5,1,1,1,0,0,0,0,1,1,1,0,0.5,0,0,0,1,1,0.5,0.5,1,0,1
faa,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.5,0,0,1,0,0,0.5,0.5,0,0,0
fia,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,0,1
fij,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0
fin,1,0,0.5,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1
fmp,1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,1,0.5,0,0,1,0,0,0.5,0.5,1,1,1
fra,1,0,0.5,0.5,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1
frd,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5
fun,1,0,0.5,0.5,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,1,1
fut,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5
fvr,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1
fwa,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,1,0
gaa,1,0,0.5,0,1,0,1,0,0,0,1,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,1,1
gag,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
gaj,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,1,0.5,0,0,1,0,0,0.5,0.5,0,0,0
gbc,1,0,0.5,0,1,0,0,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,0,0,0
gbi,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5
gbp,1,0,0.5,0,1,0,1,0,0,1,1,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,1,1
gbr,1,0,0.5,0.5,1,0,1,0,0,1,1,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,1,1
gdm,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gdo,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
gdq,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
ged,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gil,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
gin,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
gio,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,1,0,1,0.5,0.5,1,1,0
gld,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,1,1,1,0,1
gle,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
glj,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gmm,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gni,1,0,0.5,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0
grj,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1
grt,1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
gru,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
gta,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
guc,1,0,0.5,0.5,0.5,0,1,0,0,0,0,1,0,0,1,0.5,0,0,0.5,0,0,0.5,0.5,0,0,0
gug,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0
guh,1,0,0.5,0.5,0.5,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0.5,0,0,0.5,0.5,1,1,1
guj,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
gum,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0.5,0,0,0.5,0.5,0,0,0
guq,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0.5,0,0,0.5,0,0,0.5,0.5,0,0,0
gvn,1,0,0.5,0,1,0,0,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,0,0,0
gvo,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5
gwc,1,0,0.5,0,1,0,1,0,0,0,0,1,1,1,1,0.5,0,0,1,0,1,0.5,0.5,1,1,1
gya,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
gyd,1,0,0.5,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0
hae,1,0,0.5,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1
hak,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,0,0,0
hau,1,0,0.5,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1
haw,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,0,0,0
hdn,1,0,0.5,0.5,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
heb,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
hid,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
hin,1,0,0.5,0.5,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1
hix,1,0,0.5,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
hla,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5
hmt,1,0,0.5,0.5,1,0,1,0,0,0,0,0,0,0,1,0.5,0,0,1,0,1,1,1,0,0,0
hnh,1,1,0.5,0,1,1,1,0,0,0,0,0,0,0,1,0.5,0,0,1,0,1,0.5,0.5,1,0,1
hnj,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,1,0,1,1,0,0,0,0
hop,1,0,0.5,0.5,1,0,1,1,0,0,0,0,0,0,1,0.5,0,0,1,0,1,0.5,0.5,0,0,0
hsf,1,0,0.5,0,1,1,1,0,0,0,0,1,1,0,1,0.5,0,1,0,0,0,0.5,0.5,0,0,0
hss,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
hts,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0.5,0,0,1,0,0,0.5,0.5,1,0,1
hun,1,0,0.5,0.5,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
hup,1,0,0.5,0.5,1,1,1,0,0,0,0,1,1,1,1,0.5,0,0,0,0,1,0.5,0.5,0,0,0
huu,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.5,0,1,0,0,0,0.5,0.5,1,1,1
huv,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,1,1,0,0,0.5,0.5,1,0,1
huz,1,0,0.5,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1
hye,1,0,0.5,0.5,0.5,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0
iai,1,0,0.5,0,1,0,1,1,0,0,0,1,0,0,1,0.5,0,1,0,0,0,0.5,0.5,1,1,1
iba,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,1,0,1
ibo,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1
igb,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
ign,1,0,0.5,0.5,0.5,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0.5,0,0,0.5,0.5,1,0,1
ijc,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,1,1
ike,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0.5,0.5,0.5
ikx,1,0,0.5,0.5,1,1,1,0,0,1,0,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,1,1
ilb,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
imn,1,0,0.5,0.5,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ind,1,0,0.5,0.5,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1
inh,1,0,0.5,0.5,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1
irh,1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0.5,0.5,0,0,0
irk,1,0,0.5,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1
irn,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,1,0,1
iso,1,0,0.5,0,1,0,1,0,0,0,1,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,1,1
itl,1,0,0.5,0.5,1,1,1,0,0,0,0,1,1,1,1,0.5,0,0,0.5,1,1,1,1,1,1,0
ito,1,0,0.5,0,1,1,1,0,0,0,0,1,1,0,1,0.5,0,0,0.5,0,0,0,0,1,0,1
ium,1,0,0.5,0.5,0.5,0,1,0,0,0,0,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,0,1
ivv,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,1,0,1
iwm,1,0,0.5,0.5,0.5,0,1,0,0,0,0,0,0,0,1,0.5,0,0,0.5,0,0,0.5,0.5,0,0,0
ixl,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
jai,1,0,0.5,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0
jao,1,0,0.5,0,1,0,0,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,0,0,0
jav,1,0,0.5,0.5,0.5,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,0,0,0
jbt,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
jeb,1,0,0.5,0,1,1,1,0,1,0,0,1,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0
jeh,1,0,0.5,0.5,1,0,1,0,0,1,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,1,0,1
jic,1,0,0.5,0,1,1,1,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,0,0,0
jiv,1,0,0.5,0.5,0.5,0,1,0,0,0,0,0,0,0,1,0.5,0,0,0.5,0,0,1,0,0,0,0
jmd,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5
jpn,1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1
jqr,1,0,0.5,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0.5,0.5,0,0,0
jru,1,0,0.5,0,1,0,1,0,0,0,0,1,0,0,1,0.5,0,0,0,0,0,0.5,0.5,1,0,1
juc,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5
jup,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
jur,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
kaa,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0.5,0.5,0.5
kac,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,0,1
kal,1,0,0.5,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0
kan,1,0,0.5,0.5,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1
kao,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
kap,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
kas,1,0,0.5,0.5,0.5,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,1,0,1
kat,1,0,0.5,0.5,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1
kaz,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0.5,0.5,0.5
kbd,1,0,0.5,0.5,0.5,1,1,0,0,0,0,1,0,1,1,0.5,1,1,0,1,1,0,0,1,1,1
kbh,1,0,0.5,0.5,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,1,0,1
kbk,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,0,1
kbr,1,0,0.5,0,1,1,1,0,0,0,0,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,0,1
kbv,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0.5,0.5,1,0,1
kca,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,1,0,0,0,0
kdr,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0.5,0.5,0.5
kek,1,0,0.5,0.5,0.5,1,1,0,0,1,0,1,1,0,1,0.5,0,0,0.5,0,1,0.5,0.5,0,0,0
ker,1,0,0.5,0,1,0,1,0,0,1,0,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,1,1
ket,1,0,0.5,0.5,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1
kfe,1,0,0.5,0.5,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,1,0,1
kff,1,0,0.5,0.5,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,1,0,1
kfz,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1
kgo,1,0,0.5,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0
kgp,1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5,0,0,0
kha,1,0,0.5,0.5,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1
