code,P_BILABIALS,P_CLICKS,P_CODAS,P_COMPLEX_CODAS,P_COMPLEX_ONSETS,P_EJECTIVES,P_FRICATIVES,P_FRONT_ROUND_VOWELS,P_GLOTTALIZED_RESONANTS,P_IMPLOSIVES,P_LABIAL_VELARS,P_LATERALS,P_LATERAL_L,P_LATERAL_OBSTRUENTS,P_NASALS,P_NASAL_VOWELS,P_PHARYNGEALS,P_TH,P_TONE,P_UVULAR_CONTINUANTS,P_UVULAR_STOPS,P_VELAR_NASAL,P_VELAR_NASAL_INITIAL,P_VOICE,P_VOICED_FRICATIVES,P_VOICED_PLOSIVES
amn,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0.5,0.5,0.5
amo,1,0,0.5,0,1,0,1,0,0,0,1,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,1,1
amp,1,0,0.5,0.5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
amu,1,0,0.5,0.5,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,1,0,0,0,0,0,0,0
anc,1,0,0.5,0.5,1,0,1,0,0,1,0,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,1,1
ano,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,1,0,1
ape,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1
apn,1,0,0.5,0.5,0.5,0,1,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0.5,0.5,0,0,0
apq,1,0,0.5,0,1,0,0,0,0,0,0,1,0,0,1,0.5,0,0,0,0,0,0.5,0.5,1,0,1
apu,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
aqc,1,0,0.5,0.5,1,1,1,0,0,0,0,1,1,1,1,0.5,1,0,0,1,1,0,0,1,1,1
arh,1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,1,0,1
arl,1,0,0.5,0,1,0,1,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0
arn,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0
aro,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
arp,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
arw,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
ary,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5
arz,1,0,0.5,0.5,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1
atw,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0.5,0.5,0.5
auc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0.5,0.5,1,0,1
ava,1,0,0.5,0.5,1,1,1,0,0,0,0,1,1,1,1,0.5,1,0,0,1,1,0.5,0.5,1,1,1
avn,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
awn,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,1,0,1,1,0,1,1,1
axb,1,0,0.5,0.5,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0.5,1,1,0,0,0,0,0
axk,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
ayr,1,0,0.5,0,1,1,1,0,0,0,0,1,1,0,1,0.5,0,0,0,1,1,0,0,0,0,0
ayz,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
azb,1,0,0.5,0,1,0,1,1,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0,0,1,1,1
bak,1,0,0.5,0.5,1,0,1,1,0,0,0,1,1,0,1,0.5,0,1,0,1,1,1,0,1,1,1
bam,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0.5,0,0,1,0,0,1,1,1,1,1
bao,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0.5,0.5,1,0,1
bba,1,0,0.5,0.5,0.5,0,1,0,0,0,1,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,1,1
bbc,1,0,0.5,0.5,0.5,0,1,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,1,0,1
bbl,1,0,0.5,0.5,1,1,1,0,0,0,0,1,1,1,1,0.5,1,0,0,1,1,0,0,1,1,1
bbo,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,1,1
bca,1,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0.5,0,0,1,0,0,0.5,0.5,1,1,0
bci,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
bcj,1,0,0.5,0.5,1,0,0,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,0.5,0.5,0,0,0
bcs,1,0,0.5,0.5,0.5,0,1,0,0,1,1,0,0,0,1,0.5,0,0,1,0,0,0.5,0.5,1,1,1
bcw,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
