code,P_CODAS,P_COMPLEX_CODAS,P_COMPLEX_ONSETS,P_EJECTIVES,P_IMPLOSIVES,P_LONG_VOWELS,P_TONE,P_UVULARS
sxg,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
sxw,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
syw,1,0,1,0.5,0.5,1,1,0.5
tac,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
taj,1,0,1,0.5,0.5,0,1,0.5
tbl,1,0,1,0.5,0.5,0,0,0.5
tbp,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
tbx,1,1,0,0.5,0.5,1,0,0.5
tcb,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
tcc,1,0,1,0.5,0.5,0,1,0.5
tdg,1,1,1,0.5,0.5,0,1,0.5
tdh,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
tee,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
teo,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
tex,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
the,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
thf,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
thl,1,0,1,0.5,0.5,0,0,0.5
thq,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
thr,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
ths,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
thw,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
tiq,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
tji,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
tjs,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
tlj,0,0,0,0.5,0.5,0,1,0.5
tmd,1,0,0,0.5,0.5,0,0.5,0.5
tmk,1,1,1,0.5,0.5,0,1,0.5
too,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
top,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
toq,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
tos,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
tpt,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
tqt,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
trc,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
tro,1,0,0,0.5,0.5,0,0.5,0.5
trq,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
trs,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
tsj,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
tsp,1,0,1,0.5,0.5,0,1,0.5
tst,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
ttc,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
tuv,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
tvt,1,0,0,0.5,0.5,0,0,0.5
twr,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
txn,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
txo,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
tye,0,0,1,0.5,0.5,1,1,0.5
tys,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
tyt,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
tzo,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
uhn,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
uig,1,1,0,0.5,0.5,0,0,0.5
uiv,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
var,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
vay,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
vig,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
vmj,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
wbi,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
wbj,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
wbr,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
wib,1,0,1,0.5,0.5,0,1,0.5
wme,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
wno,1,0,0,0.5,0.5,0,0,0.5
wsa,0,0,0,0.5,0.5,0,0,0.5
wti,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
wuh,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
wun,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
wuu,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
xkf,1,0,1,0.5,0.5,0,1,0.5
xkv,0,0,0,0.5,0.5,0,1,0.5
xmt,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
xog,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
xsm,1,0,0,0.5,0.5,1,1,0.5
xsr,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
xtd,1,0,0,0.5,0.5,1,1,0.5
yaq,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
ybh,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
ybm,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
yes,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
yey,1,0,0,0.5,0.5,0,0,0.5
yha,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
yka,1,0,1,0.5,0.5,0,0,0.5
ykg,1,1,1,0.5,0.5,1,0,0.5
yue,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
yup,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
yux,1,1,1,0.5,0.5,1,0,0.5
ywt,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zaa,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zab,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zac,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zad,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zae,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zai,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zal,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zam,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zaq,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zar,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
zas,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zat,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zav,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zaw,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zga,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zgm,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zhb,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zhd,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zhn,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zoc,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
zor,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
zos,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
zpc,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zpg,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zpl,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zpm,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zpo,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zpq,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zpu,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zpv,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
zpz,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
